292673|1017311
353222|1017331
419848|1017354
379600|1017378
400295|1017418
403018|1017439
361730|1017469
326053|1017496
320420|1017513
319944|1017561
329966|1017599
474144|1017862
792917|1018048
461358|1018069
319977|1018095
316749|1018121
345412|1018149
345412|1018149
397307|1018187
345103|1018214
333456|1018264
953577|1019048
653660|1019092
452341|1019147
375822|1019204
328759|1019263
348856|1019302
381771|1019330
382823|1019368
311753|1019384
307491|1019416
371213|1019444
417830|1019471
422395|1019500
408076|1019540
454144|1019563
438607|1019594
437966|1019647
508433|1019676
491215|1019715
435443|1019763
619232|1019834
488079|1019857
402971|1019889
403757|1019912
436750|1019925
484257|1019953
440771|1019982
360824|1020009
355336|1020049
328278|1020076
476202|1020139
508899|1020172
364453|1020200
415567|1020421
1046333|1020508
622779|1020528
475881|1020555
460791|1020576
356375|1020615
369603|1020646
359512|1020667
353720|1020685
350960|1020695
373520|1020713
372720|1020757
410145|1020779
