223165|764764|
243479|764798|
209182|764821|
186598|764850|
201633|764888|
209331|764908|
202772|764921|
210117|764940|
241164|764968|
250609|764987|
258272|765003|
234883|765020|
229125|765045|
244611|765058|
253000|765087|
227151|765097|
241607|765127|
236800|765146|
347345|765171|
425143|765213|
414839|765313|
315962|765341|
329483|765417|
299859|765452|
322071|765484|
360834|765519|
281856|765536|
293511|765574|
284240|765587|
252380|765595|
248437|765599|
246273|765624|
205716|765632|
181692|765653|
193388|765663|
206436|765675|
188540|765701|
199850|765723|
258932|765763|
251630|765798|
239818|765858|
365207|766032|
409859|766145|
408785|766265|
418075|766359|
388522|766390|
326789|766415|
252047|766435|
267032|766476|
289256|766518|
364441|766553|
341178|766587|
352981|766603|
347604|766622|
324280|766646|
293527|766717|
339143|766784|
325679|766846|
231736|766869|
0|766883|
