249131|2153110
524791|2153156
642017|2153216
600753|2153282
669787|2153345
750261|2153442
800599|2153601
760264|2153688
702500|2153801
440658|2153850
330460|2153884
281379|2153928
309723|2153965
313633|2154011
333876|2154052
416522|2154096
338534|2154132
322639|2154187
308103|2154224
305880|2154264
319589|2154307
330417|2154356
336839|2154393
339864|2154424
336229|2154462
437057|2154491
368026|2154528
281118|2154567
256852|2154593
245302|2154637
259718|2154675
261840|2154709
289197|2154750
258854|2154797
248209|2154842
266800|2154886
268611|2154940
279778|2154987
320445|2155046
335443|2155078
312722|2155111
311381|2155130
327230|2155146
342722|2155192
333875|2155238
275001|2155274
246409|2155319
305855|2155352
321580|2155382
471377|2155435
0|2155494
