0|766797|
0|766797|
159321|766795|
263950|766805|
301773|766820|
277207|766827|
250938|766861|
266976|766902|
258612|766912|
254827|766931|
322149|766976|
325707|767027|
334814|767073|
282962|767111|
245244|767131|
324551|767166|
941306|767571|
923911|767761|
382512|767824|
243989|767881|
215244|767953|
277568|767980|
327248|768025|
300978|768058|
954588|768624|
975402|768783|
482095|768860|
268487|768893|
230517|768934|
237717|768986|
279948|769050|
250165|769092|
573958|769261|
706533|769476|
668849|769610|
282643|769629|
258078|769658|
282401|769704|
266512|769728|
213967|769754|
206456|769775|
186957|769796|
196696|769819|
233517|769843|
223060|769864|
178981|769883|
176654|769906|
201708|769931|
199203|769953|
177082|769970|
182558|769980|
186983|769993|
190546|770027|
197300|770074|
193748|770116|
195840|770143|
283193|770251|
