232791|981844
324444|981862
360594|981890
387664|981948
364207|981985
387999|982052
375342|982113
429611|982174
433530|982320
405458|982384
414475|982463
466747|982535
504279|982606
530133|982674
511972|982770
432329|982848
453034|982951
467276|983038
392292|983095
363912|983142
375571|983211
359301|983259
366451|983289
522072|983344
423208|983357
352604|983386
381551|983426
365955|983450
346411|983487
335194|983516
355561|983571
392879|983606
1076813|984214
1185113|984386
654694|984438
488496|984513
547486|984640
468831|984712
457206|984756
442685|984821
495208|984896
513914|984964
530390|985039
549302|985073
543018|985121
498106|985144
1133323|985487
848369|985523
467041|985545
429131|985575
424708|985626
449421|985655
565597|985689
606354|985703
452769|985730
436593|985765
485871|985826
431672|985855
382160|985903
392609|985937
420816|985985
441689|986014
421634|986045
459666|986080
422333|986132
445845|986188
